fdc_id,description,food_category_id
328975,"mozzarella cheese, low-moisture, part-skim, kraft ",1
329000,"mozzarella cheese, low-moisture, part-skim, store brand/other brand, crystal farms & kroger ",1
329012,"mozzarella cheese, low-moisture, part-skim, store brand, my essentials & sunnyside farms ",1
329024,"mozzarella cheese, low-moisture, part-skim, store brand, hyvee & publix ",1
329036,"mozzarella cheese, low-moisture, part-skim, kraft ",1
329058,"mozzarella cheese, low-moisture, part-skim, store brand, great value & shop rite ",1
329075,"mozzarella cheese, low-moisture, part-skim, store brand, lucerne ",1
329098,"mozzarella cheese, low-moisture, part-skim, store brand, kroger ",1
329119,"mozzarella cheese, low-moisture, part-skim, sargento ",1
329131,"cheese, string ",1
329138,"cheese, string ",1
329147,"cheese, string ",1
329160,"cheese, string ",1
329174,"cheese, string ",1
329189,"cheese, string ",1
329198,"cheese, string ",1
329216,"cheese, string ",1
329224,"cheese, string ",1
329232,"cheese, string ",1
329240,"cheese, string ",1
329255,"cheese, string ",1
329271,"cheese, string ",1
329279,"cheese, string ",1
329295,"cheese, string ",1
329309,"cheese, string ",1
329316,"cheese, string ",1
329331,"cheese, string ",1
329346,"cheese, string ",1
329359,"cheese, string ",1
329717,"cheese, dry white, queso seco, mixed composite ",1
329718,"dry white cheese, queso seco, don francisco cotija ",1
329719,"dry white cheese, queso seco, cacique cotija ",1
329720,"dry white cheese, queso seco, cacique cotija ",1
329721,"dry white cheese, queso seco, don francisco cotija ",1
329734,"cheese, dry white, queso seco, mixed composite ",1
329735,"dry white cheese, queso seco, la fe cotija ",1
329736,"dry white cheese, queso seco, cacique cotija ",1
329737,"dry white cheese, queso seco, cacique cotija ",1
329738,"dry white cheese, queso seco, la fe cotija ",1
329751,"cheese, dry white, queso seco, mixed composite ",1
329752,"dry white cheese, queso seco, el mexicano ",1
329753,"dry white cheese, queso seco, quesos la ricura limited tm ",1
329754,"dry white cheese, queso seco, el mexicano ",1
329755,"dry white cheese, queso seco, quesos la ricura limited tm ",1
329768,"cheese, dry white, queso seco, el mexicano brand ",1
329769,"dry white cheese, queso seco, el mexicano brand ",1
329770,"dry white cheese, queso seco, el mexicano brand ",1
329783,"cheese, dry white, queso seco, mixed composite ",1
329784,"dry white cheese, queso seco, la cremosita ",1
329785,"dry white cheese, queso seco, cacique ",1
329786,"dry white cheese, queso seco, la cremosita ",1
329787,"dry white cheese, queso seco, cacique cotija ",1
329806,"cheese, dry white, queso seco, mixed composite ",1
329807,"dry white cheese, queso seco, quesos la ricura limited ",1
329808,"dry white cheese, queso seco, quesos la ricura limited ",1
329809,"dry white cheese, queso seco, quesos la ricura limited tm ",1
329810,"dry white cheese, queso seco, quesos la ricura limited tm ",1
329831,"greek yogurt, chobani plain non-fat ",1
329837,"greek yogurt, chobani plain non-fat ",1
329846,"greek yogurt, fage plain nonfat ",1
329853,"greek yogurt, chobani plain non-fat ",1
329870,"greek yogurt, fage plain nonfat ",1
329874,"greek yogurt, fage plain nonfat ",1
329883,"greek yogurt, chobani plain non-fat ",1
329905,"greek yogurt, chobani plain non-fat ",1
329933,"greek yogurt, fage plain nonfat ",1
329951,"greek yogurt, chobani plain non-fat ",1
329973,"greek yogurt, fage plain nonfat ",1
329993,"greek yogurt, dannon oikos plain non-fat ",1
330008,"greek yogurt, dannon oikos plain non-fat ",1
330018,"greek yogurt, dannon oikos plain non-fat ",1
330035,"greek yogurt, dannon oikos plain non-fat ",1
330056,"greek yogurt, fage plain nonfat ",1
330079,"greek yogurt, dannon oikos plain non-fat ",1
330108,"greek yogurt, dannon oikos plain non-fat ",1
330138,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330145,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330152,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330161,"yogurt, greek, strawberry, non-fat, dannon oikos ",1
330178,"yogurt, greek, strawberry, non-fat, fage total ",1
